day,entry_time,exit_time,entry,exit,shares,gross_pnl,cost,net_pnl,reason,generation,hold_seconds,profile
2026-07-14,2026-07-14T15:18:00+00:00,2026-07-14T16:02:00+00:00,751.97,750.26,2.663937938049612,-4.555333874064933,0.4001847488676269,-4.95551862293256,trailing_stop,0,2640,trend_path|rb=False|bps=1.0|frac=True
2026-07-14,2026-07-14T17:00:00+00:00,2026-07-14T19:55:00+00:00,751.97,752.1,2.657347889745913,0.34545522566695663,0.3996837240530136,-0.05422849838605698,end_of_day,0,10500,trend_path|rb=False|bps=1.0|frac=True
2026-07-15,2026-07-15T16:03:00+00:00,2026-07-15T17:30:00+00:00,751.97,752.97,2.6572757745041002,2.6572757745041002,0.3999040604082201,2.25737171409588,target,0,5220,trend_path|rb=False|bps=1.0|frac=True
2026-07-16,2026-07-16T13:35:00+00:00,2026-07-16T14:05:00+00:00,751.97,752.97,2.660277718350392,2.660277718350392,0.40035583494542387,2.259921883404968,target,0,1800,trend_path|rb=False|bps=1.0|frac=True
2026-07-16,2026-07-16T16:13:00+00:00,2026-07-16T18:40:00+00:00,751.97,750.33,2.6632830535145673,-4.3677842077638545,0.4001050131294935,-4.767889220893348,trailing_stop,0,8820,trend_path|rb=False|bps=1.0|frac=True
2026-07-13,2026-07-13T13:51:00+00:00,2026-07-13T13:55:00+00:00,751.97,752.97,2.0,2.0,0.30098800000000003,1.699012,target,0,240,trend_path|rb=False|bps=1.0|frac=False
2026-07-13,2026-07-13T14:16:00+00:00,2026-07-13T14:26:00+00:00,751.97,752.97,2.0,2.0,0.30098800000000003,1.699012,target,0,600,trend_path|rb=False|bps=1.0|frac=False
2026-07-13,2026-07-13T14:37:00+00:00,2026-07-13T15:00:00+00:00,751.97,752.97,2.0,2.0,0.30098800000000003,1.699012,target,0,1380,trend_path|rb=False|bps=1.0|frac=False
2026-07-13,2026-07-13T15:13:00+00:00,2026-07-13T16:29:00+00:00,751.97,749.93,2.0,-4.080000000000155,0.30038000000000004,-4.380380000000154,trailing_stop,0,4560,trend_path|rb=False|bps=1.0|frac=False
2026-07-14,2026-07-14T14:35:00+00:00,2026-07-14T15:04:00+00:00,751.97,752.97,2.0,2.0,0.30098800000000003,1.699012,target,0,1740,trend_path|rb=False|bps=1.0|frac=False
